,name,lat,lon,type2,type,power_kW,duration,status,usecase,city,state
15,Green Charge Networks GreenStation Announced 4,36.817819899999996,-119.7721898,Lithium-ion Battery,Electro-chemical,60,1,Announced,Electric Bill Management,Fresno,CA
16,Green Charge Networks GreenStation Announced 5,36.803759299999996,-119.86251090000002,Lithium-ion Battery,Electro-chemical,180,1,Announced,Electric Bill Management,Fresno,CA
17,Green Charge Networks GreenStation Announced 6,36.854763,-119.71475600000001,Lithium-ion Battery,Electro-chemical,200,2,Announced,Electric Bill Management,Clovis,CA
18,Green Charge Networks GreenStation Announced 7,36.823935600000006,-119.6977203,Lithium-ion Battery,Electro-chemical,60,1,Announced,Electric Bill Management,Clovis,CA
19,Green Charge Networks GreenStation Announced 8,36.7995122,-119.64246299999999,Lithium-ion Battery,Electro-chemical,60,1,Announced,Electric Bill Management,Clovis,CA
20,Green Charge Networks GreenStation Announced 9,36.81711,-119.68162099999999,Lithium-ion Battery,Electro-chemical,200,2,Announced,Electric Bill Management,Clovis,CA
21,Green Charge Networks GreenStation Announced 10,36.8901155,-119.73667479999999,Lithium-ion Battery,Electro-chemical,200,2,Announced,Electric Bill Management,Fresno,CA
22,Green Charge Networks GreenStation Announced 11,36.862975899999995,-119.76563349999999,Lithium-ion Battery,Electro-chemical,60,1,Announced,Electric Bill Management,Fresno,CA
23,Green Charge Networks GreenStation Announced 13,37.72485,-122.398679,Lithium-ion Battery,Electro-chemical,1000,2,Announced,Electric Bill Management,San Francisco,CA
24,Green Charge Networks GreenStation Announced 14,33.9751217,-118.0346006,Lithium-ion Battery,Electro-chemical,60,2,Announced,Electric Bill Management,Whittier,CA
25,Green Charge Networks GreenStation Announced 15,34.2773843,-119.2306844,Lithium-ion Battery,Electro-chemical,200,2,Announced,Electric Bill Management,Ventura,CA
26,Green Charge Networks GreenStation Announced 16,34.1631687,-119.15913300000001,Lithium-ion Battery,Electro-chemical,200,2,Announced,Electric Bill Management,Oxnard,CA
27,Green Charge Networks GreenStation Announced 17,34.285558,-118.8820414,Lithium-ion Battery,Electro-chemical,400,2,Announced,Electric Bill Management,Moorpark,CA
28,Green Charge Networks GreenStation Announced 18,32.715637199999996,-117.16926480000001,Lithium-ion Battery,Electro-chemical,90,2,Announced,Electric Bill Management,San Diego,CA
29,Green Charge Networks GreenStation Announced 19,32.753413,-117.129548,Lithium-ion Battery,Electro-chemical,60,2,Announced,Electric Bill Management,San Diego,CA
30,Green Charge Networks GreenStation Announced 20,33.020912,-117.072525,Lithium-ion Battery,Electro-chemical,60,2,Announced,Electric Bill Management,San Diego,CA
31,Green Charge Networks GreenStation Announced 21,32.80726,-117.1165767,Lithium-ion Battery,Electro-chemical,60,2,Announced,Electric Bill Management,San Diego,CA
32,Green Charge Networks GreenStation Announced 22,33.9765093,-117.5575915,Lithium-ion Battery,Electro-chemical,30,2,Announced,Electric Bill Management,Mira Loma,CA
33,Green Charge Networks GreenStation Announced 23,34.188353,-119.222103,Lithium-ion Battery,Electro-chemical,30,2,Announced,Electric Bill Management,Oxnard,CA
34,Green Charge Networks GreenStation Announced 24,32.994222,-117.254548,Lithium-ion Battery,Electro-chemical,60,2,Announced,Electric Bill Management,Solana Beach,CA
35,Green Charge Networks GreenStation Announced 25,36.985997600000005,-121.96350259999998,Lithium-ion Battery,Electro-chemical,30,2,Announced,Electric Bill Management,Soquel,CA
36,Green Charge Networks GreenStation Announced 26,34.018956,-118.03351699999999,Lithium-ion Battery,Electro-chemical,200,2,Announced,Electric Bill Management,Whittier,CA
37,Green Charge Networks GreenStation Announced 27,33.7430594,-117.0316,Lithium-ion Battery,Electro-chemical,60,2,Announced,Electric Bill Management,Hemet,CA
38,Green Charge Networks GreenStation Announced 28,34.1296772,-118.0743144,Lithium-ion Battery,Electro-chemical,60,2,Announced,Electric Bill Management,San Gabriel,CA
39,Green Charge Networks GreenStation Announced 29,33.673302899999996,-117.956291,Lithium-ion Battery,Electro-chemical,90,2,Announced,Electric Bill Management,Huntington Beach,CA
40,Green Charge Networks GreenStation Announced 30,34.0858748,-117.2595152,Lithium-ion Battery,Electro-chemical,400,2,Announced,Electric Bill Management,San Bernardino,CA
41,Green Charge Networks GreenStation Announced 31,37.492297,-122.22445379999999,Lithium-ion Battery,Electro-chemical,90,2,Announced,Electric Bill Management,Redwood City,CA
42,Green Charge Networks GreenStation Announced 33,32.7185482,-117.16948590000001,Lithium-ion Battery,Electro-chemical,30,2,Announced,Electric Bill Management,San Diego,CA
43,Green Charge Networks GreenStation Announced 34,32.829709,-117.13243190000001,Lithium-ion Battery,Electro-chemical,60,2,Announced,Electric Bill Management,San Diego,CA
44,Oncor Battery Storage,32.7766642,-96.7969879,Lithium-ion Battery,Electro-chemical,250,3,Announced,Resiliency,Dallas,TX
45,SolarCity Walmart Solar Storage Projects California,37.562991700000005,-122.32552539999999,Lithium-ion Battery,Electro-chemical,200,2,Announced,Electric Bill Management with Renewables,San Mateo,CA
46,BMCC Urban Electric 100 kW New York,40.7127837,-74.00594129999999,Electro-chemical,Electro-chemical,100,n/a,Announced,Onsite Renewable Generation Shifting,New York City,NY
47,Axion Solar Farm 9.1 MW Coatesville,41.0036719,-80.347009,Lead-acid Battery,Electro-chemical,9000,n/a,Announced,Frequency Regulation,New Castle,PA
48,UCSD SGIP PV Projects,32.8807318,-117.24019990000001,Lithium-ion Battery,Electro-chemical,730,0.5,Announced,Onsite Renewable Generation Shifting,La Jolla,CA
49,Riverside Public Utilities 5 MW Ice Energy Project,33.9533487,-117.3961564,Ice Thermal Storage,Thermal Storage,5000,6,Announced,Electric Energy Time Shift,Riverside,CA
50,Riverside Public Utilities 5 MW Ice Energy Project,33.9533487,-117.3961564,Ice Thermal Storage,Thermal Storage,5000,6,Announced,Electric Energy Time Shift,Riverside,CA
51,Livermore Valley Performing Arts Center 30 kW Imergy Flow Battery,37.680208,-121.79189850000002,Flow Battery,Electro-chemical,30,4,Announced,Electric Bill Management,Livermore Valley,CA
52,Dynapower Company HQ micro-grid,44.442312,-73.153902,Lithium-ion Battery,Electro-chemical,375,0.67,Announced,Microgrid Capability,South Burlington,VT
53,"2 MW Potsdam, New York - Microgrid",44.6697805,-74.9813084,Electro-chemical,Electro-chemical,2000,n/a,Announced,Microgrid Capability,Potsdam,NY
54,Hybrid Compressed Air Energy Storage and Thermal Energy Storage - UCLA - Southern California Edison,34.055103,-117.7499909,Compressed Air Storage,Electro-mechanical,0,n/a,Announced,Electric Energy Time Shift,Pomona,CA
55,"Red Hook (Brooklyn, NY) - NY Prize Microgrid",40.677280200000006,-74.00944709999999,Electro-chemical,Electro-chemical,10000,n/a,Announced,Electric Energy Time Shift,"Red Hook, Brooklyn",NY
56,6 MW / 10 MWh Molokai Island Energy - Phase One,21.1443935,-157.02262969999998,Electro-chemical,Electro-chemical,6000,1.67,Announced,Microgrid Capability,Molokai,HI
57,Long Island Community Microgrid Project - 5 MW / 25 MWh,40.9634335,-72.18480090000001,Electro-chemical,Electro-chemical,5000,5,Announced,Grid-Connected Commercial (Reliability & Quality) ,East Hampton,NY
58,Smart Energy 50 Home Pilot Project - SunSpec / SolarCity,36.778261,-119.4179324,Lithium-ion Battery,Electro-chemical,0,n/a,Announced,Demand Response,SCE Territory,CA
59,Emerald Lake State Park ,43.2808225,-73.0049379,Lithium-ion Battery,Electro-chemical,10,1,Announced,Electric Bill Management,East Dorset,VT
60,"University of the Nations (Kona, Hawaii) - EnSync Energy (formerly ZBB Energy)",19.631841,-155.98636509999997,Electro-chemical,Electro-chemical,0,n/a,Announced,Microgrid Capability,Kailua-Kona,HI
61,Panasonic Enterprise Solutions Facility (Xcel Energy Storage),39.739235799999996,-104.990251,Electro-chemical,Electro-chemical,1000,2,Announced,Electric Bill Management,Denver,CO
62,Stapleton Neighborhood Energy Storage (Xcel Energy),39.778004100000004,-104.91091029999998,Electro-chemical,Electro-chemical,0,n/a,Announced,Grid-Connected Residential (Reliability),Denver,CO
63,500 kW Eugene Water & Electric Board (EWEB),44.0520691,-123.08675359999998,Electro-chemical,Electro-chemical,500,n/a,Announced,Microgrid Capability,Eugene,OR
64,"Sullivan Water Treatment Plant (Cambridge, Massachusetts)",42.382917299999995,-71.14403279999999,Electro-chemical,Electro-chemical,0,n/a,Announced,Microgrid Capability,Cambridge,MA
65,Taunton/Berkley Community Microgrid (MASS DOER Community Resiliency),41.831741799999996,-71.0854325,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Taunton/Berkley,MA
66,Boston Community Centers (MASS DOER Community Resiliency),42.360082500000004,-71.0588801,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Boston,MA
67,Northampton Fire Department HQ (MASS DOER Community Resiliency),42.3250896,-72.64120129999999,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Northampton,MA
68,Medford Resiliency Project (MASS DOER Community Resiliency),42.4184296,-71.10616390000001,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Medford,MA
69,Northampton Microgrid with Islandable PV (MASS DOER Community Resiliency),42.3250896,-72.64120129999999,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Northampton,MA
70,Sterling Police and Communication Facility Microgrid (MASS DOER Community Resiliency),42.4374156,-71.76062929999999,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Sterling,MA
71,Acton Critical Facilties Resiliency (MASS DOER Community Resiliency),42.48509310000001,-71.43284,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Acton,MA
72,Amherst/Umass Microgrid (MASS DOER Community Resiliency),42.394206200000006,-72.53351540000001,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Amherst/Umass,MA
73,Madison Park High School Shelter - Boston (MASS DOER Community Resiliency),42.360082500000004,-71.0588801,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Boston,MA
74,Cambridge Rindge and Latin School (MASS DOER Community Resiliency),42.3744083,-71.1106136,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Cambridge,MA
75,Lawrence Water Treatment Plant (MASS DOER Community Resiliency),42.694858399999994,-71.1797614,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Lawrence,MA
76,Leverett Resiliency Project (MASS DOER Community Resiliency),42.4519581,-72.5011335,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Leverett,MA
77,Falmouth High School (MASS DOER Community Resiliency),41.5900431,-70.6075906,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Falmouth,MA
78,Lincoln/Wayland-MAPC TA Project (MASS DOER Community Resiliency),42.4217357,-71.2992993,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Lincoln/Wayland,MA
79,Melrose Microgrid TA Project (MASS DOER Community Resiliency),42.458429200000005,-71.06616329999999,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Melrose,MA
80,New Bedford Techincal Assistance Project (MASS DOER Community Resiliency),41.6362152,-70.934205,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,New Bedford,MA
81,Newton Technical Assistance Project (MASS DOER Community Resiliency),42.337041299999996,-71.2092214,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Newton,MA
82,Sandwich Technical Assistance Project (MASS DOER Community Resiliency),41.7589615,-70.4939317,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Sandwich,MA
83,Saugus Technical Assistance Project (MASS DOER Community Resiliency),42.4651421,-71.0110473,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Saugus,MA
84,Scituate Technical Assistance Project (MASS DOER Community Resiliency),42.195929,-70.72586329999999,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Scituate,MA
85,Shirley Police Station Technical Assistance Project (MASS DOER Community Resiliency),42.5437035,-71.6495176,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Shirley,MA
86,Somerville Department of Public Works Technical Assistance,42.3875968,-71.0994968,Lithium-ion Battery,Electro-chemical,1,n/a,Announced,Resiliency,Somerville,MA
87,Entergy Solar-Plus-Storage Pilot Project,29.9510658,-90.0715323,Lithium-ion Battery,Electro-chemical,1000,0.5,Announced,Renewables Capacity Firming,New Orleans,LA
88,Comed-Bronzeville-Demo,39.7817213,-89.6501481,Flow Battery,Electro-chemical,1000,2,Announced,Microgrid Capability,Springfield,IL
89,Axion Power International-Sharon-12.5 MW ,41.2331116,-80.4934035,Lead-acid Battery,Electro-chemical,12500,1,Announced,Frequency Regulation,Sharon,PA
90,Escondido School District-Tesla,33.1192068,-117.086421,Lithium-ion Battery,Electro-chemical,150,4.2,Announced,Electric Energy Time Shift,Escondido,CA
91,NYSERDA-EOS Microgrid,41.5964825,-73.91096999999999,Metal Air Battery,Electro-chemical,250,4.3,Announced,Microgrid Capability,Wappingers Falls,NY
92,Deepwater Wind-New York ,41.03593529999999,-71.9545146,Lithium-ion Battery,Electro-chemical,15000,4,Announced,Renewables Capacity Firming,Montauk,NY
93,San Vicente Pumped Storage,35.5069662,-120.6709247,Closed-loop Pumped Hydro,Pumped Hydro Storage,500000,8,Announced,Grid-Connected Commercial (Reliability & Quality) ,San Vicente ,CA
94,Sunvault Energy-Edison Power- Delaware Fire Station,39.158167999999996,-75.5243682,Lithium-ion Battery,Electro-chemical,600,0.5,Announced,Electric Bill Management with Renewables,Dover,DE
95,Schneider Electric-Boston One,42.6583356,-71.1367953,Lithium-ion Battery,Electro-chemical,400,2.5,Announced,Electric Energy Time Shift,Andover,MA
96,Younicos-OCI Solar Power-Austin,29.4241219,-98.4936282,Lithium-ion Battery,Electro-chemical,1000,4,Announced,Renewables Energy Time Shift,San Antonio,TX
97,Anderson Pumped Storage,42.9487655,-115.30162109999999,Closed-loop Pumped Hydro,Pumped Hydro Storage,80000,12,Announced,Electric Supply Capacity, Elmore County,OR
98,Black Canyon Pumped Storage,41.8023171,-107.2398172,Pumped Hydro,Pumped Hydro Storage,1000000,11,Announced,Electric Supply Capacity,Carbon County,NV
99,Rose Creek Pumped Storage,38.434346399999995,-118.4863963,Pumped Hydro,Pumped Hydro Storage,250000,12,Announced,Electric Supply Capacity,Mineral County,NV
100,White Pine Pumped Storage,37.927351,-114.45312,Closed-loop Pumped Hydro,Pumped Hydro Storage,750000,12,Announced,Electric Supply Capacity,Ely County,NV
101,Grossmont Union High School District ,32.7783843,-116.9883606,Electro-chemical,Electro-chemical,1850,4,Announced,Electric Bill Management,Grossmont,CA
102,Queens College-CUNY PV System,40.7127837,-74.00594129999999,Lithium-ion Battery,Electro-chemical,60,4,Announced,Electric Bill Management with Renewables,New York,NY
103,Las Positas College EPIC Microgrid - Imergy / GELI,37.7108595,-121.80047649999999,Vanadium Redox Flow Battery,Electro-chemical,250,4,Announced,Electric Bill Management,Livermore,CA
104,"Lewes BPW / Alevo - 8 MW - (Lewes, Delaware)",38.7745565,-75.1393498,Electro-chemical,Electro-chemical,8000,0.5,Announced,Frequency Regulation,Lewes,DE
105,Beverly Regional Cache Site (MASS DOER Community Resiliency),42.5878335,-70.9045107,Electro-chemical,Electro-chemical,39,2,Announced,Microgrid Capability,Beverly,MA
106,Dennis-Yarmouth High School Regional Shelter (MASS DOER Community Resiliency),41.6775776,-70.1932971,Electro-chemical,Electro-chemical,512,1,Announced,Electric Bill Management,South Yarmouth,MA
107,Greenfield High School (MASS DOER Community Resiliency),42.6065743,-72.5952285,Electro-chemical,Electro-chemical,129,2,Announced,Black Start,Greenfield,MA
108,Holyoke Resiliency Facilities (MASS DOER Community Resiliency),42.2042586,-72.61620090000001,Electro-chemical,Electro-chemical,983,2,Announced,Microgrid Capability,Holyoke,MA
109,Asheville Plant - Duke Energy,35.478165999999995,-82.549154,Electro-chemical,Electro-chemical,5000,n/a,Announced,Demand Response,Arden,NC
110,Seattle City Light Microgrid,47.6062095,-122.33207079999998,Electro-chemical,Electro-chemical,0,n/a,Announced,Electric Energy Time Shift,Seattle,WA
111,Irvine Ranch Water District (IRWD) - AMS,33.6588951,-117.8282121,Electro-chemical,Electro-chemical,7,6.85,Announced,Demand Response,Irvine,CA
112,Nextera Wyman,43.8006208,-70.1867227,Electro-chemical,Electro-chemical,16200,0.5,Announced,Frequency Regulation,yarmouth,ME
113,Eagle Mountain Pumped Storage Project,33.71333129999999,-115.4004287,Closed-loop Pumped Hydro Storage,Pumped Hydro Storage,1300000,n/a,Contracted,Electric Energy Time Shift,Desert Center,CA
114,Ultralife SUNY Canton Wind Integration Demo,44.608012,-75.184657,Lithium-ion Battery,Electro-chemical,500,4,Contracted,Onsite Renewable Generation Shifting,Canton,NY
115,Discovery at Spring Trails Residential Energy Storage,30.120011100000003,-95.37497990000001,Lithium-ion Battery,Electro-chemical,30,14,Contracted,Electric Bill Management,Spring,TX
116,"SDGE C1243 Ortega HWY, GRC ES Program Unit 6",33.5016932,-117.66255090000001,Lithium-ion Battery,Electro-chemical,1000,3,Contracted,Stationary Transmission/Distribution Upgrade Deferral,San Juan Capistrano,CA
117,"SDGE C75 Mt San Miguel, GRC ES Program Unit 7",32.8195577,-116.96154609999999,Lithium-ion Battery,Electro-chemical,1000,3,Contracted,Microgrid Capability,El Cajon,CA
118,Snohomish PUD - MESA 2,47.9789848,-122.2020794,Flow Battery,Electro-chemical,2000,4,Contracted,Electric Energy Time Shift,Everett,WA
119,PSE Storage Innovation Project 2,47.610377,-122.20067859999999,Lithium-ion Battery,Electro-chemical,2000,2.2,Contracted,Electric Energy Time Shift,Bellevue,WA
120,Clean Energy Storage: Berkes,37.931868,-121.6957863,Lithium-ion Battery,Electro-chemical,11,7,Contracted,Onsite Renewable Generation Shifting,Brentwood,CA
121,Clean Energy Storage: Golden Bridge Development,34.39,-117.403056,Lithium-ion Battery,Electro-chemical,5,3,Contracted,Onsite Renewable Generation Shifting,Oak Hills,CA
122,Clean Energy Storage: Dibene,36.988562,-121.80634180000001,Lithium-ion Battery,Electro-chemical,24,8,Contracted,Grid-Connected Residential (Reliability),Corralitos,CA
123,SCE Home Battery Pilot,34.0805651,-118.072846,Lithium-ion Battery,Electro-chemical,80,2.5,Contracted,Demand Response,Rosemead,CA
124,VYCON Lights-Out Data Center,31.968598800000002,-99.9018131,Flywheel,Electro-mechanical,8000,n/a,Contracted,Resiliency,Texas,TX
125,Adobe Baker and Hamilton Building Stem System,37.7717908,-122.40167009999999,Lithium-ion Battery,Electro-chemical,162,1.12,Contracted,Electric Bill Management,San Francisco,CA
126,Terra Verde/SolarCity - Burton School District Energy Storage & PV Project,36.06523,-119.0167679,Lithium-ion Battery,Electro-chemical,360,2,Contracted,Electric Bill Management with Renewables,Porterville,CA
127,AES Alamitos Energy Storage Array,33.770050399999995,-118.1937395,Electro-chemical,Electro-chemical,100000,4,Contracted,Electric Supply Capacity,Long Beach,CA
128,NRG Energy 0.5 MW,33.158093300000004,-117.3505939,Electro-chemical,Electro-chemical,500,4,Contracted,Electric Energy Time Shift,Carlsbad,CA
129,Ice Energy procurement from SCE's November 2014 LCR: 25.6 MW,34.0522342,-118.24368490000002,Ice Thermal Storage,Thermal Storage,25600,6,Contracted,Electric Bill Management,Los Angeles,CA
130,AMS 50 MW Hybrid-Electric Buildings,34.0522342,-118.24368490000002,Electro-chemical,Electro-chemical,50000,n/a,Contracted,Electric Energy Time Shift,Los Angeles,CA
131,Stem 85 MW Western Los Angeles Basin,34.0522342,-118.24368490000002,Electro-chemical,Electro-chemical,85000,n/a,Contracted,Electric Bill Management,Los Angeles,CA
132,Chugach Multi-Stage Energy Storage System (MS-ESS),61.1688233,-149.9106884,Flywheel,Electro-mechanical,320,0.8,Contracted,Frequency Regulation,Anchorage,AK
133,GE and Con Edison 8 MWh,40.6804279,-122.3708419,Lithium-ion Battery,Electro-chemical,2000,4,Contracted,Electric Supply Reserve Capacity - Spinning,Central Valley,CA
134,"8 MWh Con Edison & GE - Central Valley, CA",40.6804279,-122.3708419,Lithium-ion Battery,Electro-chemical,2000,4,Contracted,Renewables Energy Time Shift,Central Valley ,CA
135,Glasgow Electric Plant Board - Sunverge 165 Home Pilot,36.995883899999995,-85.91192149999999,Lithium-ion Battery,Electro-chemical,990,1.92,Contracted,Electric Bill Management,Glasgow,KY
136,Kaua'i Dispatchable Solar Storage - 13 MW / 52MWh  - SolarCity,21.9661076,-159.5737912,Lithium-ion Battery,Electro-chemical,13000,4,Contracted,Electric Energy Time Shift,Kaua'i,HI
137,400 MW Gordon Butte Pumped Hydro,46.457695,-110.3140327,Closed-loop Pumped Hydro Storage,Pumped Hydro Storage,400000,n/a,Contracted,Frequency Regulation,Martinsdale,MT
138,500 kW / 800 kWh - Electrovaya Transportable Energy Storage,40.7127837,-74.00594129999999,Lithium-ion Battery,Electro-chemical,500,1.6,Contracted,On-Site Power,New York,NY
139,1.5 MW - Austin Energy Kingsbury Substation,30.267153000000004,-97.7430608,Lithium-ion Battery,Electro-chemical,1500,n/a,Contracted,Electric Energy Time Shift,Austin,TX
140,EPRI / SunEdison Net-Zero Home Pilot,34.06,-117.44,Lithium-ion Battery,Electro-chemical,0,n/a,Contracted,Electric Bill Management with Renewables,Fontana,CA
141,Inland Empire Utilities Agency (IEUA) - AMS,33.965928999999996,-117.67482,Electro-chemical,Electro-chemical,3500,2,Contracted,Electric Bill Management,Chino,CA
142,20 MW / 80 MWh - Energy Nuevo - Amber Kinetics,36.678393799999995,-119.92779469999999,Flywheel,Electro-mechanical,20000,4,Contracted,Electric Energy Time Shift,Fresno,CA
143,10 MW - PG&E Molino Substation- Hecate Energy,38.4259473,-122.8320595,Electro-chemical,Electro-chemical,10000,2,Contracted,Stationary Transmission/Distribution Upgrade Deferral,Sebastapol,CA
144,Golden Hills - NextEra Energy,37.6818745,-121.7680088,Electro-chemical,Electro-chemical,30000,2,Contracted,Distribution upgrade due to wind,Livermore,CA
145,Kings County Energy Storage - PG&E Henrietta Substation,36.0988489,-119.88152029999999,Zinc Air Battery,Electro-chemical,10000,4,Contracted,Distribution upgrade due to solar,Kings County,CA
146,3 MW - PG&E Clarksville Substation- Western Grid,38.6779591,-121.17605829999998,Zinc Air Battery,Electro-chemical,3000,2,Contracted,Stationary Transmission/Distribution Upgrade Deferral,Folsom,CA
147,1 MW - PG&E Old Kearney Substation - Hecate Energy,36.678393799999995,-119.92779469999999,Electro-chemical,Electro-chemical,1000,2,Contracted,Stationary Transmission/Distribution Upgrade Deferral,Fresno,CA
149,"SDG&E / Hecate Energy Bancroft - (San Diego, CA)",32.715738,-117.1610838,Electro-chemical,Electro-chemical,20000,4,Contracted,Electric Energy Time Shift,San Diego,CA
150,Idaho National Laboratory - ViZn,43.519585,-112.04618400000001,Electro-chemical,Electro-chemical,128,2.5,Contracted,Microgrid Capability,Idaho Falls,ID
151,Tucson Electric Power (TEP) - NextEra,32.2217429,-110.926479,Electro-chemical,Electro-chemical,10000,0.5,Contracted,Demand Response,Tucson,AZ
152,University of Arizona Science and Technology Park  / TEP - E.ON,32.2217429,-110.926479,Electro-chemical,Electro-chemical,10000,0.5,Contracted,Demand Response,Tucson,AZ
153,Connecticut Municipal Electric Energy Cooperative (CMEEC) - SolarCity / Brightfields Development,41.60322070000001,-73.087749,Electro-chemical,Electro-chemical,1500,4,Contracted,Electric Energy Time Shift,,CT
154,California State University Dominguez Hills Campus - AMS,33.8624657,-118.2545425,Electro-chemical,Electro-chemical,750,6,Contracted,Electric Bill Management,Carson,CA
155,SDG&E Escondido Substation - AES,33.1192068,-117.086421,Electro-chemical,Electro-chemical,30000,4,Contracted,Electric Energy Time Shift,Escondido,CA
156,SDG&E El Cajon Substation - AES,32.7947731,-116.96252690000001,Electro-chemical,Electro-chemical,7500,4,Contracted,Electric Energy Time Shift,El Cajon,CA
157,Grand Johanna Aliso Canyon Energy Storage - SCE / Powin,33.691031,-117.833193,Lithium Iron Phosphate Battery,Electro-chemical,2000,4,Contracted,Electric Supply Capacity,Irvine,CA
158,Convergent 35 MW / 140 MWh - SCE,33.7174708,-117.83114280000001,Electro-chemical,Electro-chemical,35000,4,Contracted,Electric Supply Capacity,Orange County,CA
159,Aliso Canyon SCE Mira Loma Substation - Tesla,34.0074494,-117.5609574,Electro-chemical,Electro-chemical,20000,4,Contracted,Electric Supply Capacity,Ontario,CA
160,Modesto Irrigation District - Primus Power,37.6390972,-120.99687820000001,Flow Battery,Electro-chemical,28000,4,Offline/Under Repair,Renewables Capacity Firming,Modesto,CA
161,Thermalito Pumping - Generating Plant,39.513775200000005,-121.55635900000001,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,120000,n/a,Offline/Under Repair,Electric Energy Time Shift,Oroville,CA
162,CALMAC Centex Building,32.780139899999995,-96.80045109999999,Ice Thermal Storage,Thermal Storage,205,6,Offline/Under Repair,Electric Bill Management,Dallas,TX
163,Palmdale Micro Grid Energy Storage Demonstration,34.5794343,-118.11646129999998,Electro-chemical Capacitor,Electro-chemical,450,n/a,Offline/Under Repair,Electric Energy Time Shift,Palmdale,CA
